tweet,label,tweet_asli
bangsat ini akun saya di hack kah,anger,bangsat ini akun sy di hack kah?
lah kakak saya yang umur harus panggil saya yang umur apa anjing kalau bukan adik oh saya anak tunggal ada anak perempuan satu lagi punya ayah ibu saya begitu tolol ih,anger,"lah kakak gue yang umur 33 harus manggil gue yang umur 23 apaan anjrit kalo bukan adek? ""oh saya anak tunggal, ada anak perempuan satu lagi punya ayah ibu saya"" gitu? tolol ih."
ini betul betul punya marah,anger,ni betul2 punya marah..
ternyata ada yang lebih bodoh dari saya jauh bahkan,anger,"ternyata ada yg lebih bego dari aku, jauh malah"
harus iya dihukum mati itu bangsat rusak nama sumut karena dia,anger,harus nya dihukum mati itu bangsat. rusak nama sumut karena dia
siapa lagi yang harus saya benci,anger,hmm siapa lagi yg harus aku benci
tahan saya tidak kuat sekali bangsat,anger,tyhan gue ga kuat banget bangsat
sumpah saya emosi sekali iya,anger,sumpah gw emosi banget yoo
yang dinamakan orang prik bin tolol,anger,yg dinamakan org prik bin tolol
ini faisal basri tidak lagi kena stroke kan atau tiba tiba mental retarded ciri khas jokowi ketukar sama surabaya pak faisal jangan bangsat drun,anger,ini faisal basri ngga lagi kena stroke kan? atau tiba2 mental retarded? ciri khas jokowi? ketukar sama sby pak faisal. jgn bangsat drun.
dipta kamu jangan bodoh bisa tidak,anger,dipta kamu jangan bego bisa ga?
iya anjrott jangan jangan dia punya dendam sama saya iya,anger,iya anjrott jangan jangan dia punya dendam sama gue ya
apa bedanya coba awal chat huruf kapital apa tidak sahabat kamu kok tolol,anger,"apa bedanya coba awal chat huruf kapital apa engga ? sahabat, kamu kok tolol"
bangsat memang kamu sudah,anger,"bangsat, mang lu udah?"
saya bisa masak saya ini sudah ada bekal untuk main benda tajam dan minyak panas jadi tolong hargai saya dan jangan bikin saya marah,anger,"saya bisa masak, saya ini sudah ada bekal untuk main benda tajam dan minyak panas, jadi tolong hargai saya dan jangan bikin saya marah"
bodoh iya begi diba astaga,anger,bego ya begi diba astaga
saya baik tapi saya tidak tolol semoga orang tua saya sehat terus lancar rezeki biar tidak perlu saya ngandelin saudara mirip anjing,anger,gue baik tapi gue ga tolol. semoga orang tua gue sehat terus lancar rejeki. biar ga usah gue ngandelin sodara kaya anjing.
bangsat,anger,bangsat
eh kamu tidak pernah merancang kejatuhan orang kamu benci dengan perempuan lain kah,anger,"eh, kau tidak pernah merancang kejatuhan orang kau benci dengan perempuan lain kah?"
hah bodoh kali kamu pantek,anger,hah bodoh kali kau pantek
emosi selalu nanti jadi burag loh,anger,emosi mlu nnti jd burag loh
iya kan tidak merasa capai hanya larinya jadi lambat sekali emosi saya,anger,yaa kann ga ngerasa cape cuman larinya jadi lemot bangett. emosi gue
shipper sebelah kalau tidak suka sama noren tidak perlu mampir sudah tahu benci sama noren bahkan baca au iya kocak sekali kamu,anger,shipper sebelah kalo ga suka sama noren ga ush mampir uda tau benci sama noren malah baca au nya kocak bngt lo
tidak sempat lah ini anak balas dendam minggu depan mesti sakit sudah hilang time itu,anger,tak sempat la ni nak balas dendam minggu depan. mesti sakit dh hilang time tu
islamofobisbuzzerp yaitu para njing sepilis dan komunis pelaku maksiat yang ingin mencari pembenaran atas kelakuannya para bbi kafir pecundang debat teologis secara akademis yang ingin melampiaskan dendam kekalahannya,anger,"islamofobis/buzzerp, yaitu: 1. para *njing sepilis dan komunis, pelaku maksiat yg ingin mencari pembenaran atas kelakuannya. 2. para b*bi kafir, pecundang debat teologis scr akademis yg ingin melampiaskan dendam kekalahannya."
iya juwi emosi ini saya pagi pagi,anger,iya juwi emosi nih gw pagi2
saya benci kata jenuh,anger,aku benci kata jenuh
saya benci sekolah,anger,gw benci sekolah
bacoot kadrun memang bangsat,anger,bacoot kadrun emang bangsat
bangsat masih berani main sosmed,anger,bangsat masih berani main sosmed
ajarkan kepada anak lelaki tolong opininya jangan kelewat tolol,anger,ajarkan kepada anak lelaki; tolong opininya jangan kelewat tolol.
kamu nyinyirn ku sama antek antek iya berharap ku marah tenang ku punya jurus jitu ku balas pakai solawatan dzolim kesal sendiri kan hahaha,anger,km nyinyirn q sma antek2 nya berharap q marah tenang q punya jurus jitu q bales pake solawatan dzolim kesel sendiri kan hahaha
tidak perlu kaget kalau tiba tiba saya jadi benci sama saudara saya dasar orang tidak tahu diri benalu kacang lupa kulit bajingan sama saudara sendiri,anger,gausah kaget kalau tiba2 gue jadi benci sama sodara gue. dasar orang gatau diri. benalu. kacang lupa kulit. bajingan sama sodara sendiri.
hahah bangsat,anger,hahah bangsat
tertawa tuh kamu saja tahu definisi adik tidak sih kamu ilah bikin emosi,anger,"ha tuh lu doang, tau definisi adek ga sih lu ilah bikin emosi."
menonton sis masih on going emosi terus iya sekarang nntonnya sudahlah mengikuti saja,anger,"nnton sis, masih on going. emosi mulu yah, sekarang nntonnya udahlah ikutin aja"
kenapa agama yang lurus dari tuhan yme bisa menjadi bengkok hingga bermacam bermacam sebabnya karena ada orang orang bodoh dan sesat seperti itu sudah banyak dari zaman dulu namun motifnya tetap sama yaitu untuk kepentingan perut dan sekitarnya,anger,"kenapa agama yg lurus dr tuhan yme bs menjadi bengkok hingga bermacam2? sebabnya krn ada org2 bodoh dan sesat spt itu. sdh banyak dr zaman dl, namun motifnya tetap sama yaitu utk kepentingan perut dan sekitarnya."
dapat mimpi kok mendukung keparnoan bangun bangun bangsat sekali sebal au ah lebih baik tidak perlu tidur apa iya,anger,"dpt mimpi kok mendukung keparnoan, bangun2 bangsat bgt bete au ah, mending ga usah tdr apa ya"
haah belajar chargeman a1 sekali kerja amik former kat kilang jadi worker dengan orang atas yang kejap okay kejap tidak okay anak ikut cakap dia macam kerja tidak pernah siap kimak semua kerja siap tapi bodoh anak memekak juga baruah,anger,haah .. belajar chargeman a1 sekali kerja amik former kat kilang jadi worker .. dengan orang atas yang kejap okay kejap tak okay nak ikut cakap dia macam kerja tak pernah siap kimak .. semua kerja siap tapi bodoh nak memekak jugak .. baruah
woii bodok kalau semua komplain beropiniberargumenberpendapat dan kawan-kawan mngenai kbijakan pemerintah buat apa pileg dlakukn bodoh di pelihara kamu lakukan itu bahkan buat anggota legislatif terhormat itu makan gaji buta tolol pendapatan aggota dewan itu gaji umr tiap bulan,anger,"woii bodok.. klo semua komplain, beropini,berargumen,berpendapat dkk mngenai kbijakan pemerintah. buat apa pileg dlakukn?? goblok di pelihara. lu lakukan itu malah buat anggota legislatif terhormat itu makan gaji buta.. tolol. pendapatan aggota dewan itu 10x gaji umr tiap bulan"
terserah dan masa bodoh jika kamu tidak suka atau bahkan membenciku rasa kesalku belum juga hilang,anger,terserah dan masa bodoh jika kamu tidak suka atau bahkan membenciku . rasa kesalku belum juga hilang
jangan sampai rakyat benci,anger,jangan sampai rakyatÂ benci
saya kira di menfess sebelumnya kamu mau ngejokes ternyata bodoh benaran kamu tidak tahu definisi adik atau bagaimana semua orang nyebut saudara kandang yang lebih mudanya iya adik tidak perlu suruh suruh orang buat mengaku deh kamu saja yang mikir begitu bodoh tidak jelas kamu,anger,"gue kira di menfess sblmnya lu mau ngejokes trnyata bego beneran wkwk lo ga tau definisi ˜adik ™ atau gimana? semua org nyebut saudara kandang yg lebih mudanya ya ˜adik ™, ga usah nyuruh2 org buat ngaku deh, lo doang yg mikir bgtu bego! ga jelas lo"
marah btol abang,anger,marah btol bang
auto belit apa memang ah dia orang marah bila kena kencing oleh gov india indira gandhi gunakan perkara ini sebagai peluang untuk politikus dia itu yang menyebabkan ltte bunuh indira gandhi kok pergi baca sejarah kenapa ltte itu diwujudkan tidak sama langsung macam taliban,anger,"auto belit apa? mmg ah dia org marah bila kena kencing oleh gov india. indira gandhi gunakan perkara ini sbg peluang untuk politikus dia, itu yg menyebabkan ltte bunuh indira gandhi. ko pergi baca sejarah kenapa ltte tu diwujudkan. tak sama langsung mcm taliban."
cok pagi pagi dibuat emosi,anger,cok pagi pagi dibuat emosi
bersabar dengan emosi yang ada di dalam diri ini,anger,bersabar dengan emosi yang ada di dalam diri ini.
benci tasik benci jakarta,anger,"benci tasik, benci jakarta"
sepertinya opung masih dendam bu,anger,sepertinya opung msh dendam bu
aduh bangsat ganteng sekali lagi ini orang,anger,aduh bangsat ganteng banget lagi ni orang
paling benci kalau lagi diam terus panik sendiri tidak tahu bingung kenapa,anger,paling benci kalo lagi diem terus panik sendiri gatau bingung kenapa :)
kalau cerita kat laki saya pasal mimpi malam tadi mesti kena marah,anger,kalau cerita kat laki aku pasal mimpi malam td mesti kena marah
bangsat ntarnta pasti menangis tertawa pengecut nada tolol mati saja kamu,anger,bangsat ntarnta pasti nangis haha pengecut nada tolol mati aja lo
bodoh punya statement baik lagi minum arak melacur main judi baru betul thrill,anger,bodoh punya statement ..baik gi minum arak ..melacur ..main judi ..baru betul thrill
mengaku saja lah bodoh mengajak mengajak tidak nder yang nganggep adik cuma anak kecil kamu saja,anger,((ngaku aja)))) lah bego ngajak2 gak nder yg nganggep adek cuma anak kecil lu doang
tidak jadi soft bahkan emosi,anger,gajadi soft malah emosi.
kamu jangan bikin saya marah,anger,elu jangan bikin gue marah
jarina hasebe hobi ngomel dan marah marah,anger,jarina hasebe hobi ngomel dan marah marah.
capai lagi puasa ada saja yang dibikin marah iya itu,anger,capee lagi puasa ada aja yg dibikin marah nya tu
anjinglah brengsek bangsat,anger,anjinglah brengsek bangsat
emosi iya,anger,emosi yaa........
tahulah anak luah kat siapa terasa bodoh gila,anger,tahulah nak luah kat siapa. terasa bodoh gila
benci juga karakternya cheol mirip itu sudah kelihatan han sakit hati kenapa harus ditegesin dulu baru peka tidak mempermasalahkan his feeling towards nu tapi the way he treated han that i hate the paling dipermainkan sekali tertawa jerk,anger,"benci juga karakternya cheol. kek itu uda keliatan han sakit hati, knp harus ditegesin dlu baru peka??!! ga mempermasalahkan his feeling towards nu, tp the way he treated han that i hate the most. dipermainin bgt haha, jerk."
poin okelah poin selanjutnya itu lho saya cowok saja marah bacanya,anger,"poin 1-2 okelah, poin selanjutnya itu lho, gw cowok aja marah bacanya"
kenapa kamu yang emosi,anger,nape lo yg emosi?
iya kalau mau poligami ikuti sunah rosul tunggu istri pertama meninggal dulu dan kamu nikah sama nene nene yang sudah tua dan miskin buat diurus bukan mau enak iya saja tolol,anger,ya kalo mau poligami ikuti sunah rosul tunggu istri pertama meninggal dulu dan lu nikah ma nene2 yang udh tua dan miskin buat diurus bukan mau enak nya doang tolol
betul orang cakap kalau tidak bodoh bukan namanya,anger,"betul org cakap, kalau tak bodoh bukan bn namanya.."
kalau bad day sangat pun takde hak anak emosi kat orang lain tidak professional,anger,kalau bad day sangat pun takde hak nak emosi kat orang lain. tak professional!
pagi pagi bangun sudah fucked up bodoh,anger,pagi pagi bangun dah fucked up. bodoh
percaya tapi benci saya kalau suka diam saja tidak mengomong langsung mirip saya tidak gigit elah dan kamu cowok yang gentle dong masa kalah sama gentle jen,anger,percaya tapi benci gua kalo suka diem doang kaga ngomong lgsg kek gua kaga gigit elah dan lu cowo yg gentle dong masa kalah sama gentle jen
akhirnya bangun siang tapi sih bodoh ini tidak solat subuh,anger,akhirnya bangun siang. tp si bodoh ini kaga solat subuh
saya purapura tidak tahu saja kebohonganmu yang terhakiki entahlah saya purapura bodoh saja nanti juga akan ketahuan sendiri biar waktu yang menunjukkannya,anger,"aku pura-pura tidak tau saja kebohonganmu yang terhakiki, entahlah aku pura-pura bodoh saja nanti juga akan ketahuan sendiri biar waktu yang menunjukkannya"
tetap saja namanya selingkuh kok iya tolol sekali kakean alasan,anger,tetep aja namanya selingkuh kok ya tolol banget. kakean alesan
nah ini yang saya saya sih saja lah lihat sih bright sama itu soalnya mirip phinong sekali tapi yang saya benci kalau mirip begitu suka ngelunjak anjr fan iya mana ngejelekin iwin lagi terus pasti sudah mirip berasa real sekali padahal hanya fanservice,anger,"nah ini yg gw ksl gw si b aja lah liat si bright sm tu soalnya kek phinong bet tpi yg gw benci klo kek gt suka ngelunjak anjr fans nya mn ngejelek""in iwin lgi trs pasti udh kek berasa real bet pdhl cmn fanservice"
saya dendam sama itu dua orang itu,anger,aku dendam sama ntu dua orang itu.
sange sama perempuan lain puasa tahan diri jaga pandangan bukan poligami bangsat kamu miskin tapi gegayaan poligami tuh bagaimana ceritanya nanti istri jelek tidak keurus karena kamu tidak kasih duit langsung ditinggalin heran saya kenapa lakilaki punya otak tidak dipakai sudah,anger,sange sama perempuan lain? puasa. tahan diri. jaga pandangan. bukan poligami bangsat. lo miskin tapi gegayaan poligami tuh gimana ceritanya?? nanti istri jelek ga keurus karena lo ga kasi duit langsung ditinggalin. heran gue kenapa laki-laki punya otak ga dipake dah
dulu waktu sampai saya jengkel sekali sama ibu saya mau pergi naik bus dari jombang ke bojonegoro jawa timur pakai diantar ke terminal bus padahal pinginnya naik angkot saja,anger,"dulu waktu smp saya jengkel banget sama ibu saya, mau pergi naik bus dari jombang ke bojonegoro (jawa timur) pake dianterin ke terminal bus. padahal pinginnya naik angkot saja."
eh bukan jadi mangsa maki atau kena marah but concerned pasal tidak bercakap tetiba,anger,eh bukan jadi mangsa maki atau kena marah but concerned pasal tak bercakap. tetiba.
tolong jangan benci fany fany baikbaik kok tidak makan orang kok,anger,"tolong jangan benci fany, fany baik-baik kok gak makan orang kok"
gabole marah nanti cepett tua,anger,gabole marah  nanti cepett tua
sih gwinam kayaknya dia punya keinginan hidup yang tinggi kan ada dendam sama chongsan,anger,si gwinam?? kayaknya dia punya keinginan hidup yg tinggi kan ada dendam sama chongsan
permulaan yang bangsat untuk febuari,anger,permulaan yang bangsat untuk febuari 2022
baca komentarnya sungguh menguras emosi asu,anger,baca komenannya sungguh menguras emosi asu
lagi sih kemarin siapa sih yang memilih ini gubernurr wong dudul koyok ngene,anger,lagian sih kemarin siapa sih yg milih ini gubernurr ???? wong dudul koyok ngene .
kata mama harus baik sama orang lain tapi kalau orang itu ngelunjak ya sudah diamkan saja tapi saya orangnya tidak tega an jadi iya begitu jatohnya bahkan tolol ngebantuin orang yang tidak bisa usaha sendiri,anger,"kata mama harus baik samaa orang lain tpi kalo orang itu ngelunjak yaudah diemin aja tapi gue orangnya ga tega an.. jdi ya gtu, jatohnya malah tolol ngebantuin orng yg ga bisa usaha sendiri"
bahkan ada dari tweet yang maksudnya supportive parahnya tuh tidak dibarengi dengan bertanya baikbaik atau diskusi tapi langsung ngegas benerbener jadi ruang marahmarah saja,anger,"bahkan ada dari tweet yang maksudnya supportive. parahnya tuh nggak dibarengi dengan nanya baik-baik atau diskusi, tapi langsung ngegas. bener-bener jadi ruang marah-marah aja"
iya itu benci sekali makin hari ada saja peraturan tidak jelas mirip begini huhu,anger,"iya ituu benci bgt, makin hari ada aja peraturan ga jelas kek gini huhu"
jangan lah marah dia lesen pun dia takde lagi itu,anger,jgn la marah dia. lesen l pun dia takde lagi tu.
ibu yang darah tinggi andin makk kenapa mamak yang marah marah lanjutkan makk,anger,"mak yng darah tinggi andin makk, knp mamak yng marah marah, lanjutkan makk"
tolol namanya adik tidak harus anak kecil adik iya yang posisi lahirnya setelah kakak mau jecil atau gede tidak ada urusan dongo,anger,"tolol, namanya adek ga harus anak kecil. adek ya, yang posisi lahirnya setelah kakak, mau jecil atau gede ga ada urusan.. dongo"
bangsat benar karena pelakunya adalah guru yang seharusnya mengayomi,anger,bangsat bener krn pelakunya adalah guru yg seharusnya mengayomi
diorang ini semua sudah lama anak borak dengan kamu tidak fun kata diorang kalau tidak dengar kamu buat lawak bodoh satu hari itu dulu lah jepp tertawa kitorang dengar kamu tengah on satu projek big project semua bercakap pasal kamu jo takde lah benda takde pape lagi,anger,"diorang ni semua dah lama nak borak dengan kau. tak fun kata diorang, kalau tak dengar kau buat lawak bodoh satu hari.  tu dulu la jepp. haha.  kitorang dengar kau tengah on satu projek. big project. semua bercakap pasal kau jo.  takde la. benda takde pape lagi. "
tiati bodoh benaran,anger,tiati bego beneran
marah terus kamu cepat tua mampus,anger,"yhh marah  mulu lo, cepet tua mampus"
bloon mana ada yang mau kalah memang bodoh anjing,anger,bloon. mana ada yg mau kalah. mang bego anjing kntl
mun sepatah ku becakap kamu utuk baik kakak perempuan ku diam pastu kamu marah pulang saya diam tidak paham,anger,"mun sepatah ku becakap, kau utuk. baik tah ku diam. pastu kau marah pulang aku diam? ngak paham"
saya benci kamu,anger,aku benci kau..
contoh orang tolol bin dongok,anger,contoh orang tolol bin dongok
selama perintah suami tidak melanggar syariat hormat tapi tidak tolol makanya islam buat orang yang mau berpikir,anger,selama perintah suami tidak melanggar syariat. hormat tapi nggak tolol. makanya islam buat org yg mau berfikir..
haha khas buzzerp jokowi menuduh orang mau dituduh marah,anger,"ahahaaa khas buzzerp jokowi nuduh org mau, dituduh marah"
lah bodoh itu all of us are dead kali gwinam,anger,"lah bego, itu all of us are dead kali gwinam"
saya macan marah,anger,aing macan marah?
bangsat sekali,anger,bangsat banget
padahal saya stay di lokasi juga dianggurin tertawa buat apa kamu ngehire orang luar kalau mirip begini ceritanya tolol jadi tidak ingin saya duitnya mereka tidak jelas sekali bikin stres saja padahal mah iya tinggal membereskan saja sih proyek sudah selesai juga dibikin pusing amat,anger,"padahal gw stay di lokasi jg dianggurin lol buat apa lu nge-hire org luar klo kyk gini ceritanya tolol jd ga pengen gw duitnya mereka gajelas bgt, bikin stress doang, padahal mah ya tinggal beresin doang si, proyek dah kelar juga, dibikin pusing amat"
tolong leon jangan sampai terbawa emosi iya,anger,tolong leon jangan sampe kebawa emosi ya
benci sekali saya sama ini orang,anger,benci banget gue sama ini orang.
makanya pada mengaji yang benar biar tidak bodoh,anger,makanya pada ngaji yg bener biar gak bego..
ledik jancuukk kotoran anjingg setann tolol babi monyett,anger,ledik jancuukk tai anjingg setann tolol babi monyett
supaya generasi yang sekarang jadi bodohkan mudah di begoin,anger,supaya generasi yg sekarang jadi bodoh..kan mudah di begoin
atheis punya rasa benci mengira umat beragama saja lalu apa bedanya,anger,atheis punya rasa benci? kirain umat beragama aja. lalu apa bedanya :))
terus hubungane opo bangsat,anger,trus hubungane opo bangsat!
bangsat ngagetin saja,anger,"bangsat, ngagetin aja"
emosi terus mirip ahok,anger,emosi mulu kek ahok
pebenda lah orang penuh dengan emosi last episode time itu juga dia anak sumbat,anger,"pebenda lah org penuh dgn emosi last episode, time tu jugak dia nak sumbat ppl"
saya benci hari sabtu,anger,gue benci hari sabtu
gataugue benci sekali,anger,"gatau,gue benci banget"
suka ini yang bikin emosi begini jadi tag saya dong kack,anger,suka nih yg bikin emosi gini jadi tag aku dong kack
aneh sekali bodoh kamu,anger,aneh banget bego lu
jujur shock di bagian bangsatnya sih biasanya kayaknya drake saja tidak sampai bangsat,anger,"jujur shock di bagian bangsatnya sih, biasanya kayaknya drake doang ga ampe bangsat"
we ustzh marah sebab takde orang masuk kelas pai lepastu rupanya dia yang salah masuk link,anger,we ustzh marah sbb takde orang masuk kelas pai lepastu rupanya dia yang salah masuk link
buat dan kalau mau menyerang pemerintah itu janjian dulu gitukeliatan pada bodoh iya kalau begini,anger,buat dan kalo mau nyerang pemerintah itu janjian dulu gitu..keliatan pada bego nya kalo begini !!??
saya bukan paling mulia tapi saya manusia normal yang jijik lihat kaum homo lagipula di agama di larang tolol masih saja kamu ngeyel kalau kamu masih belum benar jangan sekali kata kata kamu mirip kamu sudah benar saja homo,anger,gw bukan paling mulia tp gw manusia normal yg jijik liat kaum homo. lagipula di agama di larang tolol. masih aja lu ngeyel. kl lu masih blm benar jgn bgt kata2 lu. kaya lu uda benar aja homo.
iya allah marah betul menjenguk video ini,anger,ya allah marah betul tengok video ni
semangat walaupun dalam hati berkata bangsat,anger,semangatt walaupun dalam hati berkata bangsat
sebb itu kalau orang orang macam ini anak jalan saya buat kali tahu je selamba je jalan kamu kali deh hak anak halang halang jalan orang kecuali ambulans bodoh,anger,"sebb tu kalau org2 macam ni nak jalan aku buat x tahu je, selamba je jalan. kau x de hak nak halang2 jalan org. kecuali ambulans. bodoh"
aneh tidak sih padahal dia lebih sering keluar berdua diemdiem tidak mengajak saya tapi saya tidak ada marah sama sekali krnapa giliran saya meminta tolong buat ditemani beli sesuatu dianya marah anjim aowkaowkaow padahal kan skornya juga kalau dipikirpikir,anger,"aneh ga sih? padahal dia lebih sering keluar berdua diem-diem ga ngajak aku tapi aku gada marah samsek krnapa giliran aku minta tolong buat ditemenin beli sesuatu dianya marah anjim aowkaowkaow padahal kan skornya juga 2:0,5 klo dipikir-pikir"
hiyahiyahiya terpesona ku pada pandangan pertama dan tidak kuasa menahan emosi,anger,"hiyahiyahiya. terpesona, ku pada pandangan pertama. dan tak kuasa menahan emosi."
