tweet,label,label_id
sabtu enggak libur mas tetap semangat,happy,4
mengapai juga repot-repot mencari jawaban kalau tidak sudah cukup enggak usah dijelasin macam-macam orang kalau sudah benci tertutup itu mata dan telinga urusan begitu saja kok repot url,anger,0
20180710 09 06 wib akhirnya geng sosialita kumpuulllll breakfast cantik dari tbs dan kelapa gading,happy,4
username username rasis memang berbanding lurus dengan govlox anti pancasila kebanyakan govlok dan lebih banyak yang rasis mau ganti presiden silakan kalo mau dukung anti pancasila negara berhiaskan rasisme dan kegovlokan mongooo enggak,anger,0
oalaah rajin ya ydah tetap terus semangat ya,happy,4
berbisik mengingatkan tentang sepotong kecewa yang tak kunjung usai di balut dengan luka yang tak kunjung di obati luka luka luka dan ditutup lagi dengan luka sedikit terselip rasa bersalah menolak untuk mengakui,sad,2
2 henlo benlo app nih enggak kan acara asikmu diganggu iklan app prem di trusted legal bergaransi dm orang tele anathaa,neutral,3
bacoot kadrun memang bangsat,anger,0
menonton drama sama mama terus ada kiss scene gue panik,fear,1
nah ini kalau yang kita benci kejahatan2nya siapapun wajib dilaporkan dalam kejahatan itu siapapun bisa terlibat kan,anger,0
tetaplah hari ini olimp,neutral,3
tatapan matanya bisa biasa saja enggak ngeri lihatnya,fear,1
sueer deh kangen itu enggak enak enak itu di kangenin di perhatikan di memanjakan di bahagiain sedih kesepian menunggu doi,sad,2
bagaimana enggak brti pengin orang mengapresiasi penjualan juga kalo fisik nct paling bikin wqwq setaun 2 jenis per 3 belum project nya wqwq,neutral,3
maauu aku sudah sebulan sepi banget sedih spes app prem,sad,2
perghh favorit breakfast food kau di,neutral,3
semoga melimpahkan orang orang bersangkutan dan dengan mengambil alih pesanan orang semoga menggantikan berkali lipat untuk bisa terus cicilan rumahnya,neutral,3
jangan lupa mengingatkan ayang buat napas takut lupa malah repot,fear,1
username username terkadang aku ingin menjemput waktu waktu yang sudah begitu jauh tertinggal kembali memelukmu seperti saat kita terlalu takut pada perpisahan,fear,1
cara adalah dengan nya,neutral,3
enggak paham juga padahal buat global ngeri editornya,fear,1
rambut diacak acak kagak suka hati diacak acak dibiarkan saja,sad,2
enggak berlaku enggak dan jarang ke area ini malahan biasanya ke rak dibawahnya juga mineral,neutral,3
beuh krl jakarta cikarang mah jangan ditanya lagi penuhnya sesak bro petugas kemana penuh sesak gitumah enggak bisa jalan kesana kemari atuh petugasnya lapor bagaimana kalo dah pelecehan hajar saja ditempat saja pelakunya biikin rame dulu,anger,0
enggak juga dong mestinya bijak karena beliau itu orang-orang hebat sebagai tokoh yang tustas urusan kebutuhan ekonomi namun sayangnya belum tentu menjadi orang orang besar sekelas gusdur apalagi bung karno beliau2 ini sedang diuji karena sejarah mencatatnya url,sad,2
fyi dan bapak yang tadi ku temuin di stasiun itu dalam kondisi semua badannya dingin mukanya pucat kayanya belum makan dia bawa kantong plastik yang isinya cuma air minum ukurankecil sedih,sad,2
kak wulan beyar mendengar indihome nya kembali dan berakhir pekan beyar,neutral,3
username username username demokrasi kita memang lagi mundur saat ini karena kebebasan berekspresi terus menerus di pantau oleh penguasa,sad,2
balas dendam biar yakin kalo suami istri bisa saling nutup aib,anger,0
ah kakiku tapi paling pakai kets miiko,neutral,3
pak wagub saya beda politik dengan anda tapi setelah anda di bully masalah tong sampah jerman saya prihatin coba hubungan mas username nanti saya presentasikan tentang penanganan sampah secara integreted dan murah konsepnya sudah saya berikan p pramono anung url,sad,2
dengan melihat langsung blusukan presiden jokowi saya bisa simpulkan bahwa ini bukan pencitraan tetapi merupakan kerja seorang pemimpin dalam mengayomi rakyatnya,happy,4
semenjak bisa belanja online beliau suka beli barang yang sebenarnya enggak dibutuhin banget ujung ujungnya disimpe di sembarang tempat terus ibu ngedumel karena jengkel,anger,0
beraso nok makan biskut raya awal eh takut tokdei raya tahun nih,fear,1
allahumma sholli ala sayyidina muhammad semoga hari ini penuh keberkahan untuk kita semua pekerjaan dan diperlancar rezekinya semangat pagi,happy,4
setelah dipikir pikir benar juga sih kan ada google maps ya hnnggg tapi enggak begitu maksudku ini kan ke desa ya kan takut nyasar terus aku hilang bagaimana,fear,1
omelette mie ter pas banget texturenya pas enggak hancur masih renyah digigit tapi lembut pas dikunyah rasanya pas enggak greasy matengnya pas tapi biasanya yang pas ketemunya diwaktu yang enggak pas sih terharu url,sad,2
365 gestun limit kamu di spaylater gopay coin gopaylater akulaku kr3divo indodana dll ke enggak ber jam jam,neutral,3
baru mengirim manyar gresik,neutral,3
gara-gara osd ceramah masalah ks diotak gua terngiang2 kebayang2 ketakutan yang selama ini gua simpan sendiri bagaimana kalo nanti gua dibegitukan gua balik ke orang tua sedangkan bpk gua pelaku emak gua korban yang bikin sedih trauma2 masa kecil masih membekas jadi bikin,fear,1
gue sering ada di posisi sedih jadi waanjai satu sisi mewgulf itu sumber kebahagiaan buat gue dan mereka itu candu tapi sisi lain gue tau kalau ini tuh salah tiap malam overthinking di i ve tapi leave them tapi bagaimana caranya gue pergi dari sumber kebahagiaan gue,sad,2
dia doang yang melet2 kaget akk,fear,1
username username username username allahu a lam ana juga tidak tahu kapan dimana dan apakah ana masih hidup saat masa khalifah ala manhaj nubuwah itu kembali dengan seperangkat aturan syariat allah yang kaffah,sad,2
ini both of inamas aku super khawatir banget sama para masih nya deh,fear,1
bolehkah aku dapat kata semangat darimu,happy,4
teman teman aku mau kasih info aku bawa pulang lagi kucing aku karena dokternya lagi enggak ada di petshopnya aku takut kucing aku stres jadi aku bawa pulang dulu nanti kalau dokternya sudah ada di tempat aku bawa lagi kesana,fear,1
di instagram hits hype parah terkece lah followers banyak cakep cakep lagi bikin story rajin tapi giliran stok foto dia habis larinya ke gue mengajak hunting sana sini kan anying ya lu pikir gengsi dibawa mati,anger,0
sedih kulkasku cuma isi bunga es sama sayur,sad,2
aku sudah dewasa aku sudah kecewa,sad,2
sebel saja sih kalau aku punya barang baru entah itu hp baju skin care memakai up etc terus ada teman yang sentimen tanggapannya rasanya pengin jawab memang aku meminta sama kamu buat beli ini,anger,0
selamat pagi semangat nge ba nya semoga banyak req dm,happy,4
ju mbl mbl loochh go miracle dr0p jajan murce rd sh4ring merch juga dan sekarang bangtan baru dr0p jimin unyel nih gass link di rep,neutral,3
memang sih aku bukan siapa siapa kamu tapi aku enggak bohong kalau aku khawatir dengan keadaan kamu sekarang bolehkah kalau aku yang menghubungi kamu duluan tapi aku takut bikin kamu risih,fear,1
omicron memiliki karakteristik dengan gejala klinis bahkan tanpa gejala dibandingkan sebelumnya terkonfirmasi dan selalu prokes 5m,neutral,3
ya menangis gue takut banget sepi banget kayak yaudah memang cuma ada lo dan diri lo saja mau ngarepin siape,sad,2
tepat 4 tahun lalu kami bersenda gurau dan berhappy happy sekalian bersosial dilink tempat ini kini tempat ini baru saja kena musibah kebakaran semangat terus crew dan owner gapuro,sad,2
libur mulai tanggal 12 19 masuk tanggal 20 dapat data tanggal 11 itu pun kalo selesai semua laporan tanggal 20 terus kapan aku ngerjainnya adek sedih bang adek enggak isa dibeginikan adek masih belajar kuat sama bang dylan url,sad,2
mbuhhhhh ya yang terdekat kena kdrt dibilang urusan keluarga indak mau bantu perempuan speak up karena sexual harrasment dikatai pusink gue,anger,0
gapapa masih ada besok ayo tetap menyerah jangan semangat sedih,sad,2
pengin banget baca sejarah tentang avicenna lgii heuheu ayo semangat bacanya kii senang,happy,4
arlian melanjutkan arlian bikin kue begitu dan di membagikan ke teman alamat kakak waktu enggak sempat antarkan kesana atentsinya kembali berfokus sang bicara ketika kak laura bercerita mengenai akhir pekannya,neutral,3
malu banget anjrot hahahahahhaa mengakak,happy,4
panjang umur murah rezeki dengan silaturrahmi username username username username username username url,happy,4
twt gue mulai enggak jelas nih kayaknya mulai sedih marah kesel nyinyir lambe turah bukan kind human lagi sedih ok let si go ke pak ayi aku ngobatin mental ku dulu gais,sad,2
meminta nak makan macam-macam meminta lah suami kok meminta orang lain suruh beli pula bodoh,anger,0
cinta memang rumit dan menguras energi jiwa raga hati hidup gue sedih,sad,2
yang enggak menyebalkan di dunia ini cuma reinernajskakeksbaku pengin marah anjingg pengin teriak ngentot sekeras kerasnya,anger,0
alhamdulillah dapat kabar baik,happy,4
2 minggu ketika perasaan merahasiakan kabarnya lewat angin kecemasan mengutus rindu untuk membuat pertemuan dikamar 2017 smith,sad,2
semoga cepat sembuh enggak enak gatal gatalnya,happy,4
siang kak menyambung ke ursula nih bikin ursula,neutral,3
lagi sebar duit lewat dana kaget nih cuma buat kamu yang paling gesit sikat sekarang,happy,4
jaman dulu fotografer masih jarang main photoshop foto yang banyak micin nya banyak yang suka sekarang setelah banyak aplikasi photoshop yang semua orang bisa download free di hp orang sudah mulai mual lihat foto yang kebanyakan micin,sad,2
congratulations alyarizkypematasarii runner up ii kategori sih cewek indonesianmodelhunt sasana kriya ballroom tmii url,happy,4
pepatah bahwa orang bodoh daripada,neutral,3
takut kemalingan,fear,1
di masa depan scot langsung mencari rumahnya dong sambil merasa ada yang aneh dengan dunia ini ada apa gerangan begitu sampai rumah dia kaget dengan sesosok perempuan cantik nan putih umur 16 tahunan siapa perempuan ini,fear,1
sedih tadi malam mimpinya jeleek kali sampai aku kebangun tengah malam menangis deress terus aku tahajud baca doa blabla terus mimpi jelek lagi sampai dalam mimpi itu aku capeek kali baca ayat kursi 3 qul tapi setannya enggak pigi2 anjir,sad,2
satu lagi travel meler katanya anti asing tapi sok-sok bicara pakai gaya asing mulut bau lalu kok bikin apa pak kiyai url,anger,0
sedih yang bisa disuruh masak indomie berkurang satu,sad,2
di tapi menjadi daripada di tapi menjadi orang,neutral,3
kesini inactive kan sha,neutral,3
di bulan ramadhan semoga otak gue nyantol sama permendikbud2 dkk kurtilas ih kurtilas ternyata seperti ini url,sad,2
aku sudah merelakan terlepas itu adalah sebuah keikhlasan atau bukan aku sudah bisa tersenyum melihatmu bersama orang lain bukan suatu yang menyakitkan lagi seperti kala itu ku melihatmu bersama orang lain,sad,2
enggak tapi juga enggak lempeng nih gue,neutral,3
anjir jun malu banget enggak terus diapakan habis itu,fear,1
yang paling ngenes ketika sampai parkir stasiun lalu krl arah yang saya tuju datang tapi karena jarak parkir stasiun ke krl perlu waktu 3 menit alhasil ketinggalan kereta,sad,2
takut gua dicium macan pendekar biru,fear,1
tahi banget weh ini sudah r9 mbak mas baru mengomong begini sekarang kenapa kagak dari dulu2 sebelom event pc suka disold out ini tapi tau-tau sedekah r1 r9 komplit ke influencer monmaap kalo jujur2an prioritas fan adalah pcnya bukan produknya ya bagaimana ya,anger,0
tapi seru juga ya bacain tweet yang kemarin kemarin feeling orang gilanya dapat banget aku suka ngetawain nasibku sendiri,happy,4
kalo gue sik memang habis kehilangan seseorang yang dekat ya bisa dibilang cuman tahap bangunin sahur zone lah ahhhhhhh sial tayo tayo benar apa kata lu bang memang jadi gila,sad,2
hebatnya indonesia enggak cuman pemilunya saja tes covid pun juga begitu,anger,0
padi berisi merunduk kesini hal sekalinya dulunya diluapin sekarang enggak orang gue,neutral,3
seharusnya gue bersyukur dikasih rezeki bisa sekolah sampai tinggi dan di tempat yang ya bisa dikatakan fasilitasnya selalu ada dan lengkap sedangkan mereka setiap ke sekolah harus naik kapal compreng yang jaraknya cukup jauh dari rumah mereka hebatnya lagi mereka enggak ngeluh,sad,2
antri di bank situasyen mbak dapat nomor antrian berapa 227 buk ini ambil saja nomor antrian biar cepat 200 dalamhati rejeki anak baik,happy,4
kemarin lusa waktu break di kantin tiba-tiba bapak ceo duduk di samping dan cerita life after marriage nya ada satu hal unik yang beliau pesan ke saya jangan pernah hidup dengan mantan pecandu narkoba dalam hati thanks god you saved me from the wrong people,happy,4
dulu nemenin mbah menonton ini sepulang sekolah atau kalau lagi libur waktu siang mbahku juga kalau menonton ini serius banget nyimaknya wkwk aku suka bercandain dengan ganta ganti channel apalagi kalau pas scene naga terbang mengakak banget melihatnya,happy,4
lagi senang soalnya dapat kabar baik i vote for at the 2022,happy,4
mu tersingkir di fa cup jangan bercanda deh kalo mengasih kabar tuh ah,fear,1
username heee aku kemarin melihat hoak tetang pohon plastik pertama kali dari akun anda ygdisebarkan lewat fb ini bukan saja nol besar tapi sekaligus nonjok muka junjungan sdr terima kasih,anger,0
erick thohir pr warga manfaatkan lahan perumahan mjdi lokasi pertanian erick gagas tani ini untuk membumikan bertani masyarakat bisa menghasilkan produk2 pertanian secara,neutral,3
suka nih yang bikin emosi begini jadi tag aku dong kack,anger,0
puas harini boleh lepas dendam selalu mau kerja hari sabtu jaa duk syok tengok orang seberang rancak punya duk jogging apa settle 2 round arini alhamdulillah,happy,4
maria vania cukup memerhatikan fashion saat berolahraga jetski main tenis hingga golf,happy,4
selamat hari lahir semoga bahagia hingga ke anak cucu,happy,4
hoy tl nih,neutral,3
saya pun sedang belajar untuk menjadi kuat memang tidak mudah sekali apalagi kedua hal itu halangan amp,fear,1
ini faisal basri enggak lagi kena stroke kan atau tiba-tiba mental retarded ciri khas jokowi ketukar sama surabaya pak faisal jangan bangsat drun,anger,0
masih lemes ayo lebih semangat,happy,4
aplikasi pencatatan keuangan semacam money manager memang berguna ya jadi tahu sebenarnya pengeluaran kita per bulan itu berapa yang penting konsisten saja catetnya habis mengeluarkan uang walaupun parkir di indomaret 2000 perak tetap dicatet,happy,4
saya lagi di perpus uin ngantuk sendirian sini dong barangkali ada yang mau jadi tim sorak sorak atau mau mengajari bikin kerangka teori yang sejak 2 bulan lalu ditinggalin begitu saja hehe,sad,2
deh kecoh because know kan selalu opposite dengan perangai kita tapi masalahnya tiba tiba nak loghat nismilan kat mak cik dan,neutral,3
program makmur dukung pertanian indonesia go petani sejahtera,happy,4
my favorite song ini albums terimakasih nambawan terimakasih dynamic duo terimakasih gray oppa terimakasih semuanya lagunya membuatku mood booster untuk kerjain skripsishit url,happy,4
dimana sih oiya temenmu,neutral,3
bb 8kg wmp tanpa rutin wmp juice order bbm wa 089654598758,neutral,3
aku senang baca kayak yang benang kusut not sok royal romance nya weishin son for the king yang satu lagi tuh lupa judulnya pokoknya dua-duanya seungzz punya kak daisy apalagi kalo ada angstnya kalo ada rekomendasi lagi kasitau ya gaiss terserah pairing siapa saja,happy,4
bangun tidur dapat kabar baik tentang jimin senang banget jagoanku sudah sembuh,happy,4
alhamdulillah pie di rsup kariadi ini benar-benar diurus jadi sudah enggak panas tinggi lagi soalnya langsung dikasih paracetamol yang botolan,happy,4
hari ini aku libur dan fict maitake sepi punya masalah apa sih duniaa ah,sad,2
bukan enggak suka sama seriesnya iya aktingnya bagus soundtracknya juga bagus tapi ceritnya seram seram banget,fear,1
terima kasih nokaav bahagia selalu juga,happy,4
malu ah,fear,1
hbd my lovely wife amie amoy wish lu all the best semoga selalu berada didalam perlindungan swt panjang umur senantiasa bahagia bersama keluarga dan kerabat sehat selalu semakin banyak rejeki dan selalu menjadi wanita yang hebat bagi keluarga amin url,happy,4
kalo pemerintah atau mungsuh pemerintah teliti mereka bisa periksa apa harapan mansyarakat sekarang ini karena ini dilontarkan secara eksplisit dan terbuka yaitu harapan pada te ha er,anger,0
summit adalah untuk pengembang peneliti dan pembuat membangun summit akan menjadi kesempatan luar untuk dan terhubung dengan pemimpin di space,neutral,3
mendukung fan mu,neutral,3
aku lagi stres karena aku punya gigi susu 1 baru goyang 2 hari yang lalu aku takut kalo copot nanti enggak bisa tumbuh lagi huhuhuhuhu tolong,fear,1
username ya bagaimana ya lin coba deh mbok pikir saja kamu sbnre masih sayang banget sama mantanmu terus dia juga sampai dtk ini masih memperlakukan kamu sama seperti pas dia masih jadi pacar mu kan jadi memupuk rasa lagi nek begitu sedih,sad,2
username but what makes me liking blink sok much itu gara gara muka mereka beda beda dan gampang di hapal most of them are lulusan idola cilik,happy,4
hhh sampai sekarang masih kepikiran sama mahasiswa yang suicide karena skripsi pressure dari orang sekitar takut kalo gue nantinya kayak begitu karena memikirkan skripsi sudah stres banget ditambah pressure orang orang terdekat dengan nanyain kapan lulus dll takut entar pas gue skripsi,fear,1
ah sayang ternyata kamu memilih pergi padahal sudah kusiapkan cerita indah jika kita lanjutkan hmm kamu tidak tau aku penulis yang handal shijin,sad,2
hmm enak sih tapi manis banget wkkwkw,happy,4
kalo nyokap lagi overwhelmed begitu banyak urusan dan bawaannya sensi mulu atmosphere di rumah kayak bagaimana begitu jadi serba salah mau diam dibawah tkt dimarahi mau ngehindarin juga tkt dimarahi hm,fear,1
benci tasik benci jakarta,anger,0
muslim laki nyantai merokok dan makan di siang hari bolong ramadhan dan di tengah keramaian pula positive thinking saja mungkin dia lagi pms,anger,0
semoga wlw kemarin aki motor spp bang ngojeknya nunggak spp nya semoga diqobul,neutral,3
benci banget gue sama yang jualan agama agama cuma topeng,anger,0
wah enak betul baru bangun hehe ayo cepat bangun terus mandi,happy,4
blibet ini basictnya apa kok tiap hari bcra bodoh terus seolah pekerjaan sipil begitu saja seperti sesuatu yang indak mungkin bisa dikerjakan jokowi yang katanya sarjana kehutanan saja bisa bikin toll langit dan toll laut,anger,0
selalu merasa gaenakan padahal sebenarnya sudah enggak kuat merasa takut kalau orang lain itu enggak puas dengan hasil kerja kita kenapa sih memikirkan perasaan orang mulu heh,fear,1
username yang aku kenal sudah nikah itu anak listrik mantannya temenku sih dan sudah punya anak sedangkan ku masih menunggu wisuda ini memang sudah pada masanya nikah atau begimana sih ya,sad,2
ngentott cacat kabeh toto kromone,anger,0
makin jarang kutemui rapper macam om eminem yang kritis nan epic sama nyinyir juga sih beda tipis atau seperti almarhum tupac yang bikin album macam bikin buku sejarah atau macam om ice cube yang sepaket jadi aktor pun bisa,sad,2
hii kak semangat ya enggak perlu khawatir apa yang belum terjadi semua akan baik-baik saja menjalani saja apa yang sudah di depan mata,happy,4
mengikut berlebihan kelapa santan,neutral,3
pagi ini menonton berita headline nya bikin takut mulai dari suami bunuh istri kakek perkosa cucu ayam bakar solo ngeri banget nih berita,fear,1
segar selamat pagi sabtu basah sabtu ceria yuk ngeroom,happy,4
dibales dengan sangat ramah bonjour bintang boleh banget besok di gedung 7 ya a demain senang dengan senyuman khasnya besoknya sembari degdegan sudah kayak mau bimbingan skripsi padahal masih semester ii ketemu dan langsung aku tunjukkan ppt ku,happy,4
eh buset gedek banget bacanya anak setan lu pada justru ini yang gua suka dari 2gether di ceritanya benar benar nunjukin cinta ya cinta bukan cuma tentang nafsu doang,anger,0
malu meminta belikan paket zenius,fear,1
segala sesuatu yang kupelajari selalu saling jepit saling kait seni politik sastra dan mungkin yang kupelajari saat ini adalah jembatan panjang yang tak tahu akan berujung di mana hidup adalah pencarian yang tak putus termasuk juga mencari tahu siapa diri ini senang,sad,2
sumpah bikin emosi saja pagi pagi,anger,0
sebagai pendukung seseorang saja aku tak lupa ingatan tak cari muka muka kubawa dengan ingatan bos hati-hati awas didepan ada api atau jurang yang dapat mencelakakan piawai lah melangkah betapa api dan jurang ada jua mabfaat di dalamnya,anger,0
lagi tiduran sambil main hp tiba-tiba kasur kok goyang karena malam ini tidur sendiri di kamar yang belum beradaptasi sama penghuni kamar nya jadinya aku merasa takut dan berdoa dan baca ayat2 mengira ada makhluk mau mengganggu tidurku,fear,1
username aku diam karena menahan mengomong yang nanti takute melebar sampai mana mana dia mencoba tanya kenapa diam aku tetap diam eh malah dia ikut diam dan merem terharu,sad,2
terima kasih ya buat kakak dijakarta n surabaya yang sudah luangin waktunya buat meetup hehehehee sok sekarang saatnya off sampai ketemu akhir bulan ya di balikpapan dan denpasar gbu all,happy,4
jerman ini kebanyakan pemain bagus atau bagaimana ya sekelas sane young player of the year loh enggak dipanggil timnas ckckckck puyeng kali ini om joachim url,anger,0
username username username username username kelakuan kampungan kalian itu mbok ya jangan kelewatan lah malu-malui,anger,0
nama satu orang tercemar saja melapor ke polisi meminta diusut tuntas lingkungan hidup dengan biota jutaan makhluk hidup saja tak satupun ada yang lapor ke pak polisi berarti biota lingkungan ini lebih bisa mawas diri koreksi diri allah lebih menyukai hamba pemaaf,anger,0
doaku enggak meminta banyak kok cuma yang aku sayangi bahagia selalu seperti kamu ya kamu yang baca tweet ini,happy,4
yang mau turun gunung jawab dulu nih diam diam bae,anger,0
soal jalan jatibaru polisi tidak bisa gertak gubernur emangny polisi tidak ikut pmbhasan jangan berpolitik pengaturan wilayah hak gubernur persoalan tn abang soal turun temurun pelik perlu kesabaran username username url,anger,0
hati-hati sis username leptopku juga habis update terus restart malah jadi black screen pointernya muter2 terus enggak bisa log ini restore pun enggak bisa karena enggak sengaja kehapus,fear,1
enggak boleh boncengan cowok cewek kalo bukan sodaraan aneh banget sih menurutku soalnya kan banyak nih cowok cowok yang suka dengan baik hati menawari boncengan soalnya ya memang baik saja begitu as a friend masa enggak bisa sih btw ini sekolah negeri ya,fear,1
the greatest showman ini film musikal 60 isi filmnya nyanyi2 dan karena gue pribadi suka banget genre kayak ini jadi 2 jam menonton tuh enggak kerasa sama sekali rasanya pengin ikutan nyanyi2 sambil nari2,happy,4
senyum tak selalu berarti seseorang bahagia kadang seseorang tersenyum hanya karena tak ingin menjelaskan kenapa hatinya t,sad,2
luv emyuu tolol sumpah,anger,0
dijelasin kenapa inang bisa keinginan virus nah untuk kasusnya gwinam keinginan hidupnya ke cheongsan makannya enggak dan masih bisa virusnya,neutral,3
benci banget gue njing sama kegiatan yang namanya bangun pagi,anger,0
dulu ada orang yang membawa segudang kata ajaib dan itu bisa menenangkan saya bahkan merubah mindset saya waktu itu mungkin saya sekarang membutuhkan orang seperti itu orang yang membawa berpikul pikuk cerita dan tak sabar ingin diceritakan,sad,2
wow tuduhan lagi rujukan nya please siapa yang bilang mas,anger,0
biasanya beras dijual paling sedikit satu liter hanya di jaman presiden terlangsing ini beras dijual dua ons satu saset makanya presiden sekarang langsing yang dulu mengapai saja,anger,0
denise ih gila gua sedih banget denise langsung deg jantung gua,sad,2
iya ini bagaimana ya hadiahnya hadeh lama banget,anger,0
kemarin sudah jalan mau ngampus tiba-tiba sakit perut bulanan pulang deh daripada galfok tapi kan ternyata sudah penuh saja tapi sakitnya enggak parah kayak biasa gara-gara itu mungkin hari ini masih agak nyeri saja plus serangan nervous untuk agenda besok gatenang euy,fear,1
ujung2nya bukan soal kopi atau duit yang keluar tapi bagaimana cara kamu memperlakukan dan melayani konsumen ketika ada complain terhadap barang jasa yang dijual ingat2 itu ya hai mbak barista username gancit,anger,0
sudah lama nih enggak ada chat yang isinya selamat bobo sayang semoga mimpi indah ya good night kalo diinget ingat terakhir kali dapat chat kayak begitu teh pas zaman sangkuriang najong parahu,sad,2
username mak lampir dibully karena memberantas nyamuk yang tidak pernah tuntas dan selalu gagal menyelamatkan sang penguasa akan tetapi selalu tampil seolah olah apa gicuuuuu padahal kita semua sudah tahu dari dulu bahwa aaahhhh sudahlah,anger,0
00 15 kalo lagi laper jam segini di jakarta gampang mencari makan sedangkan disini ada makanan sisa buka saja sudah bersyukur dan iya gue laper sekarang,sad,2
wkwk nderr tapi sih jaehyun teman rl ku mengatai ku galakun cowonya modelan ah,neutral,3
aaa senang banget baru bangun sudah dapat kabar baik,happy,4
liburan ke jakarta sudah habis harus balik ke jepang lagi lalu manyun aku masih bisa re schedule tiket nih masih enggak mau balik reschedule tuh bayar lagi ya enggak apa-apa masih kangen rumah kangen mama papa abang kamu sayang uangnya bisa ditabung dia mengambek,sad,2
baru bangun langsung disambut kabar bahagia,happy,4
kalo sosis rebus enak tapi nugget aneh enggak sih,fear,1
kalo kemaren2 sih aku memang enggak pernh ngeplay video karena ya itu takut enggak bisa tidur yang terakhir btw semoga kita enggak salah pilih jawaban saja buat voting selanjutnya,fear,1
astaga baru bbrapa minggu enggak ada kabar kalian bareng2 event begitu kok ya kangen miss you sok much guys,sad,2
username username cerita satinah satu ini kayaknya memang beda ya hampir semua reply bilangnya sama degdegan sampai enggak berani biarpun cuma lihat sampai sekarang saja aku gaberani lihat pic nya,fear,1
nya kalian mgespace,neutral,3
karena kaule dados bruder makane saja digodha nben ora lepas jubahe tetap semangat om brud,happy,4
username enggak pernah beli barang mahal lebih happy cari yang sesuai budget tapi lebih hati hati dalam pemakaian biar bisa awet lama dan baru ganti ya kalo hilang rusak,happy,4
